City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
277,Loiza,PR,83.86,scattered clouds,18.4313,-65.8802,Malibu Beachfront
278,Baruun-Urt,MN,21.4,overcast clouds,46.6806,113.2792,Ахмадын амралт сувилал
279,Hofn,IS,34.65,snow,64.2539,-15.2082,Hótel Höfn
280,Daoukro,CI,77.77,scattered clouds,7.0591,-3.9631,Komenan brou roseline
281,Ilulissat,GL,7.84,overcast clouds,69.2167,-51.1,Hotel Arctic
282,Bobo Dioulasso,BF,77.45,few clouds,11.1771,-4.2979,RAN Hotel Somketa
283,Laguna,US,55.26,fog,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
284,Paita,PE,75.76,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
285,Praia,CV,73.94,clear sky,14.9215,-23.5087,LT Aparthotel
286,Digby,CA,29.71,light snow,44.6169,-65.7655,Digby Pines Golf Resort and Spa
287,San Joaquin,US,57.79,haze,37.9333,-121.3011,University Plaza Waterfront Hotel
288,Upernavik,GL,6.82,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
289,Rio Grande,BR,77.11,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
290,Laibin,CN,61.39,overcast clouds,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
291,Evanston,US,35.78,few clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
292,Mount Isa,AU,76.77,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
293,Jasper,US,57.27,few clouds,37.2001,-94.3502,Guest House Motel
294,Naze,JP,63.14,few clouds,28.3667,129.4833,Shishime Hotel
295,Lingao,CN,69.55,scattered clouds,19.9103,109.6859,Lingao Ditai Inn
297,Shache,CN,34.9,overcast clouds,38.4167,77.2406,Delong Hotel
298,Guerrero Negro,MX,69.93,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
299,Puerto El Triunfo,SV,87.08,overcast clouds,13.2833,-88.55,Hotel Jardin
300,Gorom-Gorom,BF,77.59,scattered clouds,14.4439,-0.2361,
301,Asuncion,PY,90.84,scattered clouds,-25.3007,-57.6359,"Crowne Plaza Asuncion, an IHG Hotel"
302,Saint-Francois,FR,39.47,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
303,Sinop,TR,46.22,overcast clouds,41.7711,34.8709,
305,Sri Aman,MY,75.25,broken clouds,1.2376,111.4621,Seri Simanggang Hotel
306,Meridian,US,50.32,overcast clouds,43.6121,-116.3915,Courtyard by Marriott Boise West/Meridian
307,Salalah,OM,71.91,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
308,Bonavista,CA,32.11,overcast clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
309,College,US,10.72,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
311,Muroto,JP,52.83,clear sky,33.2833,134.15,Oota Ryokan
312,Coihueco,CL,86.74,clear sky,-36.6167,-71.8333,Frutillares Centro Coihueco
313,Najran,SA,54.25,clear sky,17.4924,44.1277,محمد هادي ال فطيح
314,Bukene,TZ,68.22,light rain,-4.2333,32.8833,New Millenium Lodge
315,Grand Gaube,MU,78.39,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
316,Sisimiut,GL,19.04,overcast clouds,66.9395,-53.6735,Hotel Sisimiut
317,Pokhara,NP,54.95,clear sky,28.2333,83.9833,Butterfly Lodge
318,Huangnihe,CN,16.18,broken clouds,43.5583,128.0239,Huangnihe Forestry Bureau Huanglin Hotel
319,Boueni,YT,80.58,clear sky,-12.9025,45.0761,The feet in water
320,Qaqortoq,GL,20.05,scattered clouds,60.7167,-46.0333,Siniffik Inn
321,Marawi,PH,65.64,overcast clouds,7.9986,124.2928,Derogongan Residence
323,Havelock,US,48.15,overcast clouds,34.8791,-76.9013,Sherwood Motel
324,Pemex,MX,85.48,scattered clouds,18.4395,-96.3461,Hotel Alquimia Premier
325,Le Port,RE,75.16,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
326,Chuy,UY,69.96,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
327,Pitimbu,BR,82.99,clear sky,-7.4706,-34.8086,Reserva do Abiaí
328,Honiara,SB,79.25,moderate rain,-9.4333,159.95,Heritage Park Hotel
329,Ballina,AU,67.78,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
330,Sangueya,GN,76.21,few clouds,10.7,-14.3667,
331,Sept-Iles,CA,5.05,broken clouds,50.2001,-66.3821,Comfort Inn
332,Clyde River,CA,7.03,scattered clouds,70.4692,-68.5914,Qamaq Hotel
