City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Road Town,VG,2021-12-04 00:20:27,18.4167,-64.6167,80.64,83,20,10.36
165,Maldonado,UY,2021-12-04 00:21:09,-34.6667,-54.9167,66.22,82,88,9.4
166,Husavik,IS,2021-12-04 00:21:10,66.0449,-17.3389,12.11,82,49,14.14
167,Shelburne,CA,2021-12-04 00:21:10,44.0787,-80.2041,29.75,81,63,6.17
168,Chokurdakh,RU,2021-12-04 00:21:10,70.6333,147.9167,-25.37,95,100,12.28
169,Lompoc,US,2021-12-04 00:13:11,34.6391,-120.4579,60.12,84,90,8.05
170,Jega,NG,2021-12-04 00:21:11,12.2175,4.3792,73.89,19,11,8.59
171,Pringsewu,ID,2021-12-04 00:21:11,-5.3582,104.9744,75.54,92,99,1.63
172,Nicoya,CR,2021-12-04 00:21:11,10.1483,-85.452,80.15,89,66,5.82
173,Srednekolymsk,RU,2021-12-04 00:21:12,67.45,153.6833,-14.91,96,100,13.69
174,San Luis,AR,2021-12-04 00:21:12,-33.295,-66.3356,67.69,77,75,16.11
175,Inhambane,MZ,2021-12-04 00:21:12,-23.865,35.3833,75.74,96,14,7.34
176,Montrose,US,2021-12-04 00:21:13,38.4166,-108.2673,43.14,50,10,0.72
177,Cidreira,BR,2021-12-04 00:17:19,-30.1811,-50.2056,68.77,79,51,19.84
178,Matara,LK,2021-12-04 00:21:13,5.9485,80.5353,76.28,88,91,1.21
179,Coffs Harbour,AU,2021-12-04 00:17:47,-30.3,153.1333,87.13,73,1,19.57
180,Severo-Kurilsk,RU,2021-12-04 00:21:13,50.6789,156.125,37.94,97,100,17.27
181,Grindavik,IS,2021-12-04 00:21:14,63.8424,-22.4338,28.35,100,0,9.22
182,Mhango,TZ,2021-12-04 00:21:14,-3.2833,32.85,66.97,63,17,3.44
183,Norman Wells,CA,2021-12-04 00:17:34,65.282,-126.8329,-39.96,67,20,3.44
184,Kavieng,PG,2021-12-04 00:22:15,-2.5744,150.7967,84.47,70,85,5.64
185,Nyurba,RU,2021-12-04 00:22:15,63.2842,118.3319,2.39,96,100,7.09
186,Broken Hill,AU,2021-12-04 00:22:16,-31.95,141.4333,67.98,26,64,19.51
187,Wladyslawowo,PL,2021-12-04 00:22:16,54.7909,18.4009,33.94,83,100,15.39
188,Namie,JP,2021-12-04 00:22:16,37.4833,141.0,48.96,86,50,4.97
189,Kirakira,SB,2021-12-04 00:22:17,-10.4544,161.9205,84.85,72,99,3.96
190,Nanortalik,GL,2021-12-04 00:22:17,60.1432,-45.2371,30.54,66,99,16.51
191,Vangaindrano,MG,2021-12-04 00:22:17,-23.35,47.6,72.84,92,46,5.64
192,Kalemie,CD,2021-12-04 00:22:18,-5.9475,29.1947,71.02,85,32,1.32
193,Tasiilaq,GL,2021-12-04 00:22:18,65.6145,-37.6368,26.76,60,43,9.04
194,Novopokrovka,UA,2021-12-04 00:22:18,49.8425,36.5477,34.18,96,100,9.24
195,Lamar,US,2021-12-04 00:22:19,33.6668,-95.5836,70.36,88,40,6.91
196,Sao Jose Da Coroa Grande,BR,2021-12-04 00:22:19,-8.8978,-35.1478,78.94,84,32,9.37
197,Aklavik,CA,2021-12-04 00:14:45,68.2191,-135.0107,-25.67,84,15,7.94
198,Vao,NC,2021-12-04 00:22:20,-22.6667,167.4833,76.86,79,49,13.13
199,Sola,VU,2021-12-04 00:22:20,-13.8833,167.55,84.87,74,90,0.0
200,Walvis Bay,NA,2021-12-04 00:22:20,-22.9575,14.5053,59.09,88,0,1.14
201,Ilulissat,GL,2021-12-04 00:14:40,69.2167,-51.1,14.02,62,41,33.38
202,Half Moon Bay,US,2021-12-04 00:22:21,37.4636,-122.4286,58.53,84,90,4.61
203,Tura,IN,2021-12-04 00:16:07,25.5198,90.2201,61.92,85,80,3.15
204,Saint-Philippe,RE,2021-12-04 00:14:46,-21.3585,55.7679,78.35,86,25,8.63
205,Bukachacha,RU,2021-12-04 00:22:21,52.9833,116.9167,-0.26,99,66,1.48
206,Mount Gambier,AU,2021-12-04 00:22:21,-37.8333,140.7667,63.07,53,70,9.93
207,Laguna,US,2021-12-04 00:14:39,38.421,-121.4238,68.65,89,1,1.01
208,Lambarene,GA,2021-12-04 00:22:22,-0.7001,10.2406,73.92,96,100,1.61
209,Nome,US,2021-12-04 00:22:22,64.5011,-165.4064,8.67,78,90,26.46
210,Muros,ES,2021-12-04 00:22:23,42.7762,-9.0603,57.09,92,50,14.25
211,Bilma,NE,2021-12-04 00:22:23,18.6853,12.9164,69.12,19,39,6.64
212,Sitka,US,2021-12-04 00:22:23,57.0531,-135.33,30.09,80,90,0.0
213,Usta Muhammad,PK,2021-12-04 00:22:24,28.1794,68.0445,61.16,29,0,3.02
214,Ushtobe,KZ,2021-12-04 00:22:24,45.2514,77.9838,42.57,67,100,2.42
215,Doha,QA,2021-12-04 00:22:24,25.2867,51.5333,66.18,57,0,9.22
216,Verkhoyansk,RU,2021-12-04 00:22:25,67.5447,133.385,-49.86,100,69,1.12
217,Dhidhdhoo,MV,2021-12-04 00:22:25,6.8833,73.1,81.61,76,26,4.05
218,Ejido,VE,2021-12-04 00:22:25,8.5514,-71.2375,68.09,95,62,2.06
219,Vardo,NO,2021-12-04 00:22:26,70.3705,31.1107,27.97,65,100,8.63
220,Mecca,SA,2021-12-04 00:21:51,21.4267,39.8261,71.6,51,0,1.3
221,Aksu,CN,2021-12-04 00:22:26,41.1231,80.2644,24.58,52,74,2.08
222,Nakuru,KE,2021-12-04 00:22:26,-0.2833,36.0667,59.32,88,85,0.49
223,Kaduqli,SD,2021-12-04 00:22:27,11.0167,29.7167,75.52,30,1,7.56
224,Ouesso,CG,2021-12-04 00:22:27,1.6136,16.0517,69.1,97,86,1.72
225,Lexington,US,2021-12-04 00:21:39,37.9887,-84.4777,60.8,63,1,6.91
226,Puerto Padre,CU,2021-12-04 00:22:28,21.195,-76.6028,78.01,76,87,10.56
227,Adrar,MR,2021-12-04 00:22:13,20.5022,-10.0711,65.86,22,100,9.13
228,Naze,JP,2021-12-04 00:22:28,28.3667,129.4833,59.92,57,88,19.55
229,Katsuura,JP,2021-12-04 00:22:28,35.1333,140.3,57.18,56,0,21.52
230,Saladoblanco,CO,2021-12-04 00:23:29,1.9924,-76.0434,63.25,97,100,1.72
231,Mingguang,CN,2021-12-04 00:23:29,32.7802,117.9638,43.99,43,19,4.52
232,Ixtapa,MX,2021-12-04 00:23:30,20.7,-105.2,80.22,78,20,4.61
233,Kamenka,RU,2021-12-04 00:23:30,51.3223,42.7678,42.75,70,100,21.09
234,Tierra Blanca,HN,2021-12-04 00:23:30,14.5833,-88.5833,71.62,99,53,3.8
235,Port Hardy,CA,2021-12-04 00:23:31,50.6996,-127.4199,39.76,93,90,2.3
236,Aksarka,RU,2021-12-04 00:14:49,66.5606,67.7975,-9.04,93,100,9.1
237,Neuquen,AR,2021-12-04 00:20:22,-38.9516,-68.0591,62.49,63,75,0.0
238,Mataram,ID,2021-12-04 00:23:31,-8.5833,116.1167,83.21,77,77,3.51
239,Vestmannaeyjar,IS,2021-12-04 00:23:31,63.4427,-20.2734,35.15,78,96,9.78
240,Marsa Matruh,EG,2021-12-04 00:23:32,31.3525,27.2453,62.13,54,100,11.56
241,Port Macquarie,AU,2021-12-04 00:23:32,-31.4333,152.9167,80.89,68,17,8.1
242,Kifri,IQ,2021-12-04 00:23:32,34.6959,44.9661,53.31,43,56,5.48
243,Patiya,BD,2021-12-04 00:23:33,22.2931,91.9762,65.82,77,54,3.09
244,Constitucion,CL,2021-12-04 00:23:33,-35.3333,-72.4167,53.51,76,0,12.86
245,Juayua,SV,2021-12-04 00:23:33,13.8414,-89.7456,75.74,73,8,3.33
246,Lavrentiya,RU,2021-12-04 00:23:34,65.5833,-171.0,15.04,96,100,7.09
247,Brae,GB,2021-12-04 00:23:34,60.3964,-1.353,42.71,75,52,6.85
248,Matiri,TZ,2021-12-04 00:23:34,-10.75,34.9,63.68,71,19,5.75
249,Cotonou,BJ,2021-12-04 00:23:35,6.3654,2.4183,84.18,84,20,10.36
250,Jerusalem,IL,2021-12-04 00:23:35,31.769,35.2163,52.72,73,100,1.01
251,Vrangel,RU,2021-12-04 00:21:21,42.7297,133.0839,20.48,60,36,14.65
252,Gerash,IR,2021-12-04 00:23:36,27.6652,54.1371,51.94,84,0,3.65
253,Yazman,PK,2021-12-04 00:23:36,29.1212,71.7446,61.02,24,0,7.52
254,Gao,ML,2021-12-04 00:23:36,16.6362,1.637,73.53,16,27,10.2
255,Chuy,UY,2021-12-04 00:23:37,-33.6971,-53.4616,62.78,81,77,9.15
256,Nchelenge,ZM,2021-12-04 00:23:37,-9.3451,28.734,72.25,70,12,3.96
257,Suez,EG,2021-12-04 00:23:37,29.9737,32.5263,59.14,66,100,4.43
258,Omsukchan,RU,2021-12-04 00:23:37,62.5333,155.8,-35.5,94,31,3.06
259,Zhangye,CN,2021-12-04 00:23:38,38.9342,100.4517,25.5,47,0,6.08
